SaleID,PropertyID,SaleDate,SalePrice,LegalReference,SoldAsVacant
17781,24149,2014-11-21,210000.0,20141124-0108296,0.0
17782,51061,2016-06-30,263900.0,20160708-0070223,0.0
17783,23066,2014-10-22,220000.0,20141030-0100043,0.0
17784,56399,2016-10-27,299900.0,20161102-0115742,0.0
17785,53503,2016-08-15,250000.0,20160817-0085865,0.0
17786,17261,2014-06-20,219000.0,20140627-0056733,0.0
17787,47402,2016-04-28,219900.0,20160503-0043339,0.0
17805,31642,2015-05-29,71000.0,20150601-0050659,0.0
17806,27338,2015-02-04,96500.0,20150210-0012117,0.0
17807,36883,2015-08-31,109000.0,20150902-0089263,0.0
17808,26466,2015-01-12,110000.0,20150115-0004299,0.0
17809,51062,2016-06-02,145000.0,20160607-0057518,0.0
17810,51063,2016-06-29,94000.0,20160705-0068684,0.0
17811,51064,2016-06-30,107500.0,20160713-0071886,0.0
17812,53504,2016-08-10,129400.0,20160818-0086410,0.0
17813,38472,2015-09-28,107000.0,20150930-0099479,0.0
17814,11878,2014-01-29,78000.0,20140130-0008612,0.0
17815,11879,2014-01-29,78000.0,20140130-0008616,0.0
17816,8186,2013-09-04,82000.0,20130909-0094873,0.0
17817,4856,2013-06-05,78076.0,20130613-0060355,0.0
17818,7312,2013-08-09,77000.0,20130814-0085287,0.0
17819,20199,2014-08-15,85000.0,20140820-0075919,0.0
17820,55007,2016-09-01,112000.0,20160913-0096139,0.0
17821,4857,2013-06-28,73500.0,20130702-0067985,0.0
17822,29850,2015-04-30,106000.0,20150430-0038670,0.0
17823,45694,2016-03-18,110000.0,20160401-0030853,0.0
17824,20200,2014-08-15,85000.0,20140820-0075917,0.0
17825,18747,2014-07-16,86000.0,20140717-0063298,0.0
17826,41003,2015-11-04,115000.0,20151229-0130481,0.0
17827,47403,2016-04-28,71000.0,20160509-0045844,0.0
17828,8825,2013-10-03,128000.0,20131008-0105444,0.0
17829,7932,2013-09-06,152000.0,20130910-0095354,0.0
17830,37962,2015-09-21,156500.0,20150922-0096402,0.0
17831,21208,2014-09-30,138000.0,20141003-0091892,0.0
17832,36367,2015-08-14,123600.0,20150820-0084003,0.0
17833,45163,2016-03-08,185000.0,20160310-0023117,0.0
17834,54442,2016-09-23,188000.0,20160926-0101501,0.0
17835,51898,2016-07-18,160000.0,20160721-0075097,0.0
17840,43992,2016-02-05,142500.0,20160208-0011882,0.0
17841,32908,2015-06-24,60000.0,20150721-0071240,0.0
17842,5727,2013-07-23,126000.0,20130730-0079438,0.0
17843,51899,2016-07-25,154500.0,20160726-0076659,0.0
17844,22601,2014-10-30,132500.0,20141103-0101414,0.0
17845,18268,2014-07-29,135000.0,20140801-0068799,0.0
17847,39339,2015-10-13,150000.0,20151013-0104265,0.0
17850,30946,2015-05-29,159000.0,20150601-0050196,0.0
17854,8826,2013-10-04,38000.0,20131009-0106181,0.0
17855,53022,2016-08-01,130000.0,20160801-0079159,0.0
17856,37963,2015-09-24,149900.0,20150929-0098686,0.0
17857,11665,2014-01-16,70000.0,20140121-0005642,0.0
17858,46731,2016-04-06,150000.0,20160408-0033891,0.0
17860,7933,2013-09-26,121000.0,20130930-0102320,0.0
17861,39340,2015-10-22,168000.0,20151028-0109473,0.0
17862,30948,2015-05-07,75000.0,20150511-0043019,0.0
17863,10698,2013-12-20,155000.0,20131231-0131031,0.0
17865,43993,2016-02-18,92000.0,20160218-0015589,0.0
17866,6919,2013-08-16,108000.0,20130819-0086699,0.0
17867,55917,2016-10-03,165199.0,20161005-0105185,0.0
17868,26107,2015-02-13,169000.0,20150219-0014430,0.0
17869,27118,2015-02-13,169000.0,20150219-0014430,0.0
